season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2526,2025-08-23,AC Milan,Cremonese,1.0,2.0,1,4,0,0
2526,2025-08-23,Genoa,Lecce,0.0,0.0,2,3,0,0
2526,2025-08-23,Roma,Bologna,1.0,0.0,1,1,0,0
2526,2025-08-23,Sassuolo,Napoli,0.0,2.0,2,1,1,0
2526,2025-08-24,Atalanta,Pisa,1.0,1.0,2,0,0,0
2526,2025-08-24,Cagliari,Fiorentina,1.0,1.0,4,2,0,0
2526,2025-08-24,Como,Lazio,2.0,0.0,2,3,0,0
2526,2025-08-24,Juventus,Parma Calcio 1913,2.0,0.0,1,2,1,0
2526,2025-08-25,Inter,Torino,5.0,0.0,0,0,0,0
2526,2025-08-25,Udinese,Verona,1.0,1.0,3,2,0,0
2526,2025-08-29,Cremonese,Sassuolo,3.0,2.0,2,2,0,0
2526,2025-08-29,Lecce,AC Milan,0.0,2.0,1,0,0,0
2526,2025-08-30,Bologna,Como,1.0,0.0,4,4,0,0
2526,2025-08-30,Napoli,Cagliari,1.0,0.0,2,1,0,0
2526,2025-08-30,Parma Calcio 1913,Atalanta,1.0,1.0,2,2,0,0
2526,2025-08-30,Pisa,Roma,0.0,1.0,2,1,0,0
2526,2025-08-31,Genoa,Juventus,0.0,1.0,1,2,0,0
2526,2025-08-31,Inter,Udinese,1.0,2.0,1,3,0,0
2526,2025-08-31,Lazio,Verona,4.0,0.0,0,0,0,0
2526,2025-08-31,Torino,Fiorentina,0.0,0.0,2,2,0,0
2526,2025-09-13,Cagliari,Parma Calcio 1913,2.0,0.0,3,1,0,0
2526,2025-09-13,Fiorentina,Napoli,1.0,3.0,0,0,0,0
2526,2025-09-13,Juventus,Inter,4.0,3.0,2,2,0,0
2526,2025-09-14,AC Milan,Bologna,1.0,0.0,3,2,0,0
2526,2025-09-14,Atalanta,Lecce,4.0,1.0,0,0,0,0
2526,2025-09-14,Pisa,Udinese,0.0,1.0,1,2,0,0
2526,2025-09-14,Roma,Torino,0.0,1.0,2,3,0,0
2526,2025-09-14,Sassuolo,Lazio,1.0,0.0,6,3,0,0
2526,2025-09-15,Como,Genoa,1.0,1.0,2,2,1,0
2526,2025-09-15,Verona,Cremonese,0.0,0.0,2,1,0,0
2526,2025-09-19,Lecce,Cagliari,1.0,2.0,2,3,0,0
2526,2025-09-20,Bologna,Genoa,2.0,1.0,1,5,0,0
2526,2025-09-20,Udinese,AC Milan,0.0,3.0,2,0,0,0
2526,2025-09-20,Verona,Juventus,1.0,1.0,3,3,0,0
2526,2025-09-21,Cremonese,Parma Calcio 1913,0.0,0.0,1,0,0,0
2526,2025-09-21,Fiorentina,Como,1.0,2.0,4,3,0,0
2526,2025-09-21,Inter,Sassuolo,2.0,1.0,2,1,0,0
2526,2025-09-21,Lazio,Roma,0.0,1.0,1,1,2,0
2526,2025-09-21,Torino,Atalanta,0.0,3.0,0,0,0,0
2526,2025-09-22,Napoli,Pisa,3.0,2.0,1,2,0,0
2526,2025-09-27,Cagliari,Inter,0.0,2.0,0,2,0,0
2526,2025-09-27,Como,Cremonese,1.0,1.0,3,4,1,0
2526,2025-09-27,Juventus,Atalanta,1.0,1.0,0,2,0,1
2526,2025-09-28,AC Milan,Napoli,2.0,1.0,1,0,1,0
2526,2025-09-28,Lecce,Bologna,2.0,2.0,4,2,0,0
2526,2025-09-28,Pisa,Fiorentina,0.0,0.0,0,1,0,0
2526,2025-09-28,Roma,Verona,2.0,0.0,0,4,0,0
2526,2025-09-28,Sassuolo,Udinese,3.0,1.0,0,3,0,0
2526,2025-09-29,Genoa,Lazio,0.0,3.0,5,1,0,0
2526,2025-09-29,Parma Calcio 1913,Torino,2.0,1.0,3,3,0,0
2526,2025-10-03,Verona,Sassuolo,0.0,1.0,2,3,0,0
2526,2025-10-04,Atalanta,Como,1.0,1.0,1,3,0,0
2526,2025-10-04,Inter,Cremonese,4.0,1.0,1,1,0,0
2526,2025-10-04,Lazio,Torino,3.0,3.0,3,3,0,0
2526,2025-10-04,Parma Calcio 1913,Lecce,0.0,1.0,1,2,0,0
2526,2025-10-05,Bologna,Pisa,4.0,0.0,0,1,0,1
2526,2025-10-05,Fiorentina,Roma,1.0,2.0,2,3,0,0
2526,2025-10-05,Juventus,AC Milan,0.0,0.0,2,2,0,0
2526,2025-10-05,Napoli,Genoa,2.0,1.0,1,3,0,0
2526,2025-10-05,Udinese,Cagliari,1.0,1.0,1,2,0,0
2526,2025-10-18,Lecce,Sassuolo,0.0,0.0,2,2,0,0
2526,2025-10-18,Pisa,Verona,0.0,0.0,4,2,0,0
2526,2025-10-18,Roma,Inter,0.0,1.0,4,3,0,0
2526,2025-10-18,Torino,Napoli,1.0,0.0,1,2,0,0
2526,2025-10-19,AC Milan,Fiorentina,2.0,1.0,3,3,0,0
2526,2025-10-19,Atalanta,Lazio,0.0,0.0,4,0,0,0
2526,2025-10-19,Cagliari,Bologna,0.0,2.0,1,3,0,0
2526,2025-10-19,Como,Juventus,2.0,0.0,3,1,0,0
2526,2025-10-19,Genoa,Parma Calcio 1913,0.0,0.0,2,4,0,1
2526,2025-10-20,Cremonese,Udinese,1.0,1.0,4,2,0,0
2526,2025-10-24,AC Milan,Pisa,2.0,2.0,1,3,0,0
2526,2025-10-25,Cremonese,Atalanta,1.0,1.0,3,1,0,0
2526,2025-10-25,Napoli,Inter,3.0,1.0,2,1,0,0
2526,2025-10-25,Parma Calcio 1913,Como,0.0,0.0,0,1,0,0
2526,2025-10-25,Udinese,Lecce,3.0,2.0,2,2,0,0
2526,2025-10-26,Fiorentina,Bologna,2.0,2.0,3,4,0,1
2526,2025-10-26,Lazio,Juventus,1.0,0.0,2,4,0,0
2526,2025-10-26,Sassuolo,Roma,0.0,1.0,3,2,0,0
2526,2025-10-26,Torino,Genoa,2.0,1.0,2,2,0,0
2526,2025-10-26,Verona,Cagliari,2.0,2.0,3,4,0,0
2526,2025-10-28,Atalanta,AC Milan,1.0,1.0,1,3,0,0
2526,2025-10-28,Lecce,Napoli,0.0,1.0,2,1,0,0
2526,2025-10-29,Bologna,Torino,0.0,0.0,2,3,0,0
2526,2025-10-29,Como,Verona,3.0,1.0,1,4,0,0
2526,2025-10-29,Genoa,Cremonese,0.0,2.0,3,1,0,0
2526,2025-10-29,Inter,Fiorentina,3.0,0.0,1,1,0,1
