season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2021,2020-09-19,Fiorentina,Torino,1,0,3,1,0,0
2021,2020-09-19,Verona,Roma,0,0,2,0,0,0
2021,2020-09-20,Genoa,Crotone,4,1,4,2,0,0
2021,2020-09-20,Juventus,Sampdoria,3,0,1,1,0,0
2021,2020-09-20,Parma Calcio 1913,Napoli,0,2,4,1,0,0
2021,2020-09-20,Sassuolo,Cagliari,1,1,1,3,0,0
2021,2020-09-21,AC Milan,Bologna,2,0,3,4,0,1
2021,2020-09-26,Cagliari,Lazio,0,2,1,1,0,0
2021,2020-09-26,Inter,Fiorentina,4,3,1,1,0,0
2021,2020-09-26,Sampdoria,Benevento,2,3,3,1,0,0
2021,2020-09-26,Torino,Atalanta,2,4,1,2,0,0
2021,2020-09-27,Crotone,AC Milan,0,2,1,3,0,0
2021,2020-09-27,Napoli,Genoa,6,0,1,2,0,0
2021,2020-09-27,Roma,Juventus,2,2,2,2,0,1
2021,2020-09-27,Spezia,Sassuolo,1,4,2,1,0,0
2021,2020-09-27,Verona,Udinese,1,0,1,0,0,0
2021,2020-09-28,Bologna,Parma Calcio 1913,4,1,1,2,0,1
2021,2020-09-30,Benevento,Inter,2,5,1,0,0,0
2021,2020-09-30,Lazio,Atalanta,1,4,6,3,0,0
2021,2020-09-30,Udinese,Spezia,0,2,0,4,0,1
2021,2020-10-02,Fiorentina,Sampdoria,1,2,0,3,0,0
2021,2020-10-03,Sassuolo,Crotone,4,1,2,3,0,0
2021,2020-10-03,Udinese,Roma,0,1,1,0,0,0
2021,2020-10-04,AC Milan,Spezia,3,0,1,2,0,0
2021,2020-10-04,Atalanta,Cagliari,5,2,0,0,0,0
2021,2020-10-04,Benevento,Bologna,1,0,2,1,0,0
2021,2020-10-04,Lazio,Inter,1,1,3,4,1,1
2021,2020-10-04,Parma Calcio 1913,Verona,1,0,1,1,0,0
2021,2020-10-17,Crotone,Juventus,1,1,3,3,0,1
2021,2020-10-17,Inter,AC Milan,1,2,3,3,0,0
2021,2020-10-17,Napoli,Atalanta,4,1,1,3,0,0
2021,2020-10-17,Sampdoria,Lazio,3,0,2,2,0,0
2021,2020-10-18,Bologna,Sassuolo,3,4,2,1,0,0
2021,2020-10-18,Roma,Benevento,5,2,3,2,0,0
2021,2020-10-18,Spezia,Fiorentina,2,2,2,2,0,0
2021,2020-10-18,Torino,Cagliari,2,3,2,3,1,0
2021,2020-10-18,Udinese,Parma Calcio 1913,3,2,3,2,0,0
2021,2020-10-19,Verona,Genoa,0,0,1,4,0,0
2021,2020-10-23,Sassuolo,Torino,3,3,2,2,0,0
2021,2020-10-24,Atalanta,Sampdoria,1,3,3,4,0,0
2021,2020-10-24,Genoa,Inter,0,2,1,1,0,0
2021,2020-10-24,Lazio,Bologna,2,1,3,3,0,0
2021,2020-10-25,Benevento,Napoli,1,2,3,1,0,0
2021,2020-10-25,Cagliari,Crotone,4,2,2,3,0,1
2021,2020-10-25,Fiorentina,Udinese,3,2,1,3,0,0
2021,2020-10-25,Juventus,Verona,1,1,1,4,0,0
2021,2020-10-25,Parma Calcio 1913,Spezia,2,2,3,2,0,0
2021,2020-10-26,AC Milan,Roma,3,3,3,2,0,0
2021,2020-10-31,Bologna,Cagliari,3,2,3,3,0,0
2021,2020-10-31,Crotone,Atalanta,1,2,1,3,0,0
2021,2020-10-31,Inter,Parma Calcio 1913,2,2,1,1,0,0
2021,2020-11-01,Napoli,Sassuolo,0,2,2,2,0,0
2021,2020-11-01,Roma,Fiorentina,2,0,3,2,0,1
2021,2020-11-01,Sampdoria,Genoa,1,1,5,1,0,0
2021,2020-11-01,Spezia,Juventus,1,4,3,1,0,0
2021,2020-11-01,Torino,Lazio,3,4,2,4,0,0
2021,2020-11-01,Udinese,AC Milan,1,2,2,2,0,0
2021,2020-11-02,Verona,Benevento,3,1,5,4,0,1
2021,2020-11-04,Genoa,Torino,1,2,2,4,0,0
2021,2020-11-06,Sassuolo,Udinese,0,0,2,2,0,0
2021,2020-11-07,Benevento,Spezia,0,3,3,3,0,0
2021,2020-11-07,Cagliari,Sampdoria,2,0,0,2,0,1
2021,2020-11-07,Parma Calcio 1913,Fiorentina,0,0,1,2,0,0
2021,2020-11-08,AC Milan,Verona,2,2,1,3,0,0
2021,2020-11-08,Atalanta,Inter,1,1,1,3,0,0
2021,2020-11-08,Bologna,Napoli,0,1,3,0,0,0
2021,2020-11-08,Genoa,Roma,1,3,1,0,0,0
2021,2020-11-08,Lazio,Juventus,1,1,2,2,0,0
2021,2020-11-08,Torino,Crotone,0,0,3,3,0,1
2021,2020-11-21,Crotone,Lazio,0,2,3,4,0,0
2021,2020-11-21,Juventus,Cagliari,2,0,3,2,0,0
2021,2020-11-21,Spezia,Atalanta,0,0,3,3,0,0
2021,2020-11-22,Fiorentina,Benevento,0,1,2,3,0,0
2021,2020-11-22,Inter,Torino,4,2,3,2,0,0
2021,2020-11-22,Napoli,AC Milan,1,3,2,4,1,0
2021,2020-11-22,Roma,Parma Calcio 1913,3,0,0,0,0,0
2021,2020-11-22,Sampdoria,Bologna,1,2,2,2,0,0
2021,2020-11-22,Udinese,Genoa,1,0,2,3,0,1
2021,2020-11-22,Verona,Sassuolo,0,2,1,3,0,0
2021,2020-11-28,Atalanta,Verona,0,2,2,3,0,0
2021,2020-11-28,Benevento,Juventus,1,1,5,1,0,1
2021,2020-11-28,Sassuolo,Inter,0,3,3,1,0,0
2021,2020-11-29,AC Milan,Fiorentina,2,0,2,4,0,0
