season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
1920,2019-08-24,Fiorentina,Napoli,3,4,2,4,0,0
1920,2019-08-24,Parma Calcio 1913,Juventus,0,1,2,3,0,0
1920,2019-08-25,Cagliari,Brescia,0,1,2,2,0,0
1920,2019-08-25,Roma,Genoa,3,3,3,1,0,0
1920,2019-08-25,SPAL,Atalanta,2,3,2,1,0,0
1920,2019-08-25,Sampdoria,Lazio,0,3,2,2,0,0
1920,2019-08-25,Torino,Sassuolo,2,1,4,3,0,0
1920,2019-08-25,Udinese,AC Milan,1,0,1,3,0,0
1920,2019-08-25,Verona,Bologna,1,1,1,3,1,0
1920,2019-08-26,Inter,Lecce,4,0,1,2,0,1
1920,2019-08-30,Bologna,SPAL,1,0,3,2,0,0
1920,2019-08-31,AC Milan,Brescia,1,0,3,4,0,0
1920,2019-08-31,Juventus,Napoli,4,3,3,3,0,0
1920,2019-09-01,Atalanta,Torino,2,3,2,2,0,0
1920,2019-09-01,Cagliari,Inter,1,2,5,3,0,0
1920,2019-09-01,Genoa,Fiorentina,2,1,2,0,0,0
1920,2019-09-01,Lazio,Roma,1,1,4,3,0,0
1920,2019-09-01,Lecce,Verona,0,1,2,3,0,0
1920,2019-09-01,Sassuolo,Sampdoria,4,1,1,3,0,1
1920,2019-09-01,Udinese,Parma Calcio 1913,1,3,1,3,0,0
1920,2019-09-14,Fiorentina,Juventus,0,0,3,3,0,0
1920,2019-09-14,Inter,Udinese,1,0,2,1,0,1
1920,2019-09-14,Napoli,Sampdoria,2,0,2,2,0,0
1920,2019-09-15,Brescia,Bologna,3,4,1,6,1,0
1920,2019-09-15,Genoa,Atalanta,1,2,3,3,0,0
1920,2019-09-15,Parma Calcio 1913,Cagliari,1,3,0,5,0,0
1920,2019-09-15,Roma,Sassuolo,4,2,1,2,0,0
1920,2019-09-15,SPAL,Lazio,2,1,5,3,0,0
1920,2019-09-15,Verona,AC Milan,0,1,4,3,1,1
1920,2019-09-16,Torino,Lecce,1,2,1,5,0,0
1920,2019-09-20,Cagliari,Genoa,3,1,1,1,0,0
1920,2019-09-21,AC Milan,Inter,0,2,2,1,0,0
1920,2019-09-21,Juventus,Verona,2,1,0,3,0,1
1920,2019-09-21,Udinese,Brescia,0,1,4,4,0,0
1920,2019-09-22,Atalanta,Fiorentina,2,2,2,5,0,0
1920,2019-09-22,Bologna,Roma,1,2,3,5,0,1
1920,2019-09-22,Lazio,Parma Calcio 1913,2,0,1,3,0,0
1920,2019-09-22,Lecce,Napoli,1,4,3,3,0,0
1920,2019-09-22,Sampdoria,Torino,1,0,2,1,0,0
1920,2019-09-22,Sassuolo,SPAL,3,0,3,2,0,0
1920,2019-09-24,Brescia,Juventus,1,2,1,3,0,0
1920,2019-09-24,Verona,Udinese,0,0,0,4,0,0
1920,2019-09-25,Fiorentina,Sampdoria,2,1,4,4,0,1
1920,2019-09-25,Genoa,Bologna,0,0,5,4,0,0
1920,2019-09-25,Inter,Lazio,1,0,2,3,0,0
1920,2019-09-25,Napoli,Cagliari,0,1,1,1,1,0
1920,2019-09-25,Parma Calcio 1913,Sassuolo,1,0,3,1,0,0
1920,2019-09-25,Roma,Atalanta,0,2,2,1,0,0
1920,2019-09-25,SPAL,Lecce,1,3,1,2,0,0
1920,2019-09-26,Torino,AC Milan,2,1,4,5,0,1
1920,2019-09-28,Juventus,SPAL,2,0,2,2,0,0
1920,2019-09-28,Sampdoria,Inter,1,3,2,3,0,1
1920,2019-09-28,Sassuolo,Atalanta,1,4,2,2,0,0
1920,2019-09-29,AC Milan,Fiorentina,1,3,2,4,1,0
1920,2019-09-29,Cagliari,Verona,1,1,2,2,0,0
1920,2019-09-29,Lazio,Genoa,4,0,1,2,0,0
1920,2019-09-29,Lecce,Roma,0,1,2,4,0,0
1920,2019-09-29,Napoli,Brescia,2,1,2,1,0,0
1920,2019-09-29,Udinese,Bologna,1,0,4,3,0,1
1920,2019-09-30,Parma Calcio 1913,Torino,3,2,2,2,0,1
1920,2019-10-05,Genoa,AC Milan,1,2,4,3,2,2
1920,2019-10-05,SPAL,Parma Calcio 1913,1,0,4,2,1,0
1920,2019-10-05,Verona,Sampdoria,2,0,1,3,0,0
1920,2019-10-06,Atalanta,Lecce,3,1,2,3,0,0
1920,2019-10-06,Bologna,Lazio,2,2,5,3,1,1
1920,2019-10-06,Fiorentina,Udinese,1,0,1,2,0,0
1920,2019-10-06,Inter,Juventus,1,2,2,3,0,0
1920,2019-10-06,Roma,Cagliari,1,1,1,4,0,0
1920,2019-10-06,Torino,Napoli,0,0,1,2,0,0
1920,2019-10-19,Juventus,Bologna,2,1,2,3,0,0
1920,2019-10-19,Lazio,Atalanta,3,3,5,2,0,0
1920,2019-10-19,Napoli,Verona,2,0,3,3,0,0
1920,2019-10-20,AC Milan,Lecce,2,2,1,2,0,0
1920,2019-10-20,Cagliari,SPAL,2,0,4,5,0,0
1920,2019-10-20,Parma Calcio 1913,Genoa,5,1,1,2,0,0
1920,2019-10-20,Sampdoria,Roma,0,0,3,3,0,1
1920,2019-10-20,Sassuolo,Inter,3,4,4,3,0,0
1920,2019-10-20,Udinese,Torino,1,0,3,3,0,0
1920,2019-10-21,Brescia,Fiorentina,0,0,0,3,0,0
1920,2019-10-25,Verona,Sassuolo,0,1,5,5,0,0
1920,2019-10-26,Genoa,Brescia,3,1,6,4,0,0
1920,2019-10-26,Inter,Parma Calcio 1913,2,2,3,2,0,0
1920,2019-10-26,Lecce,Juventus,1,1,4,1,0,0
1920,2019-10-27,Atalanta,Udinese,7,1,2,2,0,1
1920,2019-10-27,Bologna,Sampdoria,2,1,1,3,0,0
1920,2019-10-27,Fiorentina,Lazio,1,2,4,3,2,1
1920,2019-10-27,Roma,AC Milan,2,1,4,5,0,0
1920,2019-10-27,SPAL,Napoli,1,1,4,1,0,0
1920,2019-10-27,Torino,Cagliari,1,1,2,4,0,0
1920,2019-10-29,Brescia,Inter,1,2,4,3,0,0
1920,2019-10-29,Parma Calcio 1913,Verona,0,1,1,5,0,0
1920,2019-10-30,Cagliari,Bologna,3,2,2,1,0,0
1920,2019-10-30,Juventus,Genoa,2,1,4,2,1,2
1920,2019-10-30,Lazio,Torino,4,0,2,1,0,1
1920,2019-10-30,Napoli,Atalanta,2,2,3,3,0,0
1920,2019-10-30,Sampdoria,Lecce,1,1,4,3,0,1
1920,2019-10-30,Sassuolo,Fiorentina,1,2,3,4,0,0
1920,2019-10-30,Udinese,Roma,0,4,4,2,0,1
1920,2019-10-31,AC Milan,SPAL,1,0,4,4,0,0
1920,2019-11-02,Bologna,Inter,1,2,3,4,0,0
1920,2019-11-02,Roma,Napoli,2,1,4,3,1,0
1920,2019-11-02,Torino,Juventus,0,1,5,2,0,0
1920,2019-11-03,AC Milan,Lazio,1,2,3,5,0,0
1920,2019-11-03,Atalanta,Cagliari,0,2,2,3,1,0
1920,2019-11-03,Fiorentina,Parma Calcio 1913,1,1,2,2,0,0
