season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2425,2024-10-31,Genoa,Fiorentina,0,1,4,2,0,0
2425,2024-10-31,Roma,Torino,1,0,2,2,0,0
2425,2024-11-02,Bologna,Lecce,1,0,2,2,0,0
2425,2024-11-02,Monza,AC Milan,0,1,2,1,0,0
2425,2024-11-02,Udinese,Juventus,0,2,2,2,0,0
2425,2024-11-03,Inter,Venezia,1,0,2,1,0,0
2425,2024-11-03,Napoli,Atalanta,0,3,2,2,0,0
2425,2024-11-03,Torino,Fiorentina,0,1,2,1,0,0
2425,2024-11-03,Verona,Roma,3,2,2,2,1,0
2425,2024-11-04,Empoli,Como,1,0,1,0,0,0
2425,2024-11-04,Lazio,Cagliari,2,1,3,6,0,2
2425,2024-11-04,Parma Calcio 1913,Genoa,0,1,2,5,0,0
2425,2024-11-07,Genoa,Como,1,1,4,3,0,0
2425,2024-11-08,Lecce,Empoli,1,1,0,3,0,0
2425,2024-11-09,Cagliari,AC Milan,3,3,0,2,0,0
2425,2024-11-09,Juventus,Torino,2,0,1,3,0,0
2425,2024-11-09,Venezia,Parma Calcio 1913,1,2,1,2,0,0
2425,2024-11-10,Atalanta,Udinese,2,1,1,1,0,0
2425,2024-11-10,Fiorentina,Verona,3,1,1,2,0,0
2425,2024-11-10,Inter,Napoli,1,1,1,0,0,0
2425,2024-11-10,Monza,Lazio,0,1,5,1,0,0
2425,2024-11-10,Roma,Bologna,2,3,2,3,0,0
2425,2024-11-23,AC Milan,Juventus,0,0,3,2,0,0
2425,2024-11-23,Parma Calcio 1913,Atalanta,1,3,0,2,0,0
2425,2024-11-23,Verona,Inter,0,5,2,1,0,0
2425,2024-11-24,Como,Fiorentina,0,2,2,1,1,0
2425,2024-11-24,Genoa,Cagliari,2,2,2,2,0,0
2425,2024-11-24,Lazio,Bologna,3,0,3,2,0,1
2425,2024-11-24,Napoli,Roma,1,0,0,3,0,0
2425,2024-11-24,Torino,Monza,1,1,1,2,0,0
2425,2024-11-25,Empoli,Udinese,1,1,3,2,0,0
2425,2024-11-25,Venezia,Lecce,0,1,1,4,0,0
2425,2024-11-29,Cagliari,Verona,1,0,1,2,0,0
2425,2024-11-30,AC Milan,Empoli,3,0,2,2,0,0
2425,2024-11-30,Bologna,Venezia,3,0,0,2,0,0
2425,2024-11-30,Como,Monza,1,1,3,0,0,0
2425,2024-12-01,Lecce,Juventus,1,1,1,4,0,0
2425,2024-12-01,Parma Calcio 1913,Lazio,3,1,4,3,0,0
2425,2024-12-01,Torino,Napoli,0,1,4,1,0,0
2425,2024-12-01,Udinese,Genoa,0,2,2,3,1,0
2425,2024-12-02,Roma,Atalanta,0,2,2,3,0,0
2425,2024-12-06,Atalanta,AC Milan,2,1,2,0,0,0
2425,2024-12-06,Inter,Parma Calcio 1913,3,1,1,1,0,0
2425,2024-12-07,Genoa,Torino,0,0,2,1,0,0
2425,2024-12-07,Juventus,Bologna,2,2,3,4,0,0
2425,2024-12-07,Roma,Lecce,4,1,2,3,0,0
2425,2024-12-08,Fiorentina,Cagliari,1,0,3,2,0,0
2425,2024-12-08,Napoli,Lazio,0,1,2,3,0,0
2425,2024-12-08,Venezia,Como,2,2,1,1,0,0
2425,2024-12-08,Verona,Empoli,1,4,2,2,0,0
2425,2024-12-09,Monza,Udinese,1,2,1,2,0,0
2425,2024-12-13,Empoli,Torino,0,1,2,3,1,0
2425,2024-12-14,Cagliari,Atalanta,0,1,3,3,0,0
2425,2024-12-14,Juventus,Venezia,2,2,1,3,0,0
2425,2024-12-14,Udinese,Napoli,1,3,1,1,0,0
2425,2024-12-15,AC Milan,Genoa,0,0,0,2,0,0
2425,2024-12-15,Bologna,Fiorentina,1,0,2,2,0,0
2425,2024-12-15,Como,Roma,2,0,6,1,0,0
2425,2024-12-15,Lecce,Monza,2,1,1,5,0,0
2425,2024-12-15,Parma Calcio 1913,Verona,2,3,1,3,0,0
2425,2024-12-16,Lazio,Inter,0,6,2,4,0,0
2425,2024-12-20,Verona,AC Milan,0,1,1,1,0,0
2425,2024-12-21,Genoa,Napoli,1,2,2,1,0,0
2425,2024-12-21,Lecce,Lazio,1,2,3,2,1,0
2425,2024-12-21,Torino,Bologna,0,2,0,2,0,0
2425,2024-12-22,Atalanta,Empoli,3,2,1,1,0,0
2425,2024-12-22,Monza,Juventus,1,2,1,1,0,0
2425,2024-12-22,Roma,Parma Calcio 1913,5,0,1,2,0,0
2425,2024-12-22,Venezia,Cagliari,2,1,1,2,0,0
2425,2024-12-23,Fiorentina,Udinese,1,2,2,5,0,0
2425,2024-12-23,Inter,Como,2,0,2,2,0,0
2425,2024-12-28,Cagliari,Inter,0,3,0,0,0,0
2425,2024-12-28,Empoli,Genoa,1,2,1,2,0,0
2425,2024-12-28,Lazio,Atalanta,1,1,2,3,0,0
2425,2024-12-28,Parma Calcio 1913,Monza,2,1,3,6,0,1
2425,2024-12-29,AC Milan,Roma,1,1,4,4,0,0
2425,2024-12-29,Juventus,Fiorentina,2,2,3,1,0,0
2425,2024-12-29,Napoli,Venezia,1,0,0,3,0,0
2425,2024-12-29,Udinese,Torino,2,2,1,0,0,0
2425,2024-12-30,Bologna,Verona,2,3,2,5,1,0
2425,2024-12-30,Como,Lecce,2,0,3,2,0,0
2425,2025-01-04,Fiorentina,Napoli,0,3,0,1,0,0
2425,2025-01-04,Venezia,Empoli,1,1,1,2,0,0
2425,2025-01-04,Verona,Udinese,0,0,2,2,1,0
2425,2025-01-05,Lecce,Genoa,0,0,0,1,0,0
2425,2025-01-05,Monza,Cagliari,1,2,2,2,1,0
2425,2025-01-05,Roma,Lazio,2,0,4,5,0,1
2425,2025-01-05,Torino,Parma Calcio 1913,0,0,2,1,0,0
2425,2025-01-10,Lazio,Como,1,1,3,3,1,0
2425,2025-01-11,AC Milan,Cagliari,1,1,1,2,0,0
2425,2025-01-11,Empoli,Lecce,1,3,0,3,0,0
2425,2025-01-11,Torino,Juventus,1,1,4,1,0,0
2425,2025-01-11,Udinese,Atalanta,0,0,1,2,0,0
2425,2025-01-12,Bologna,Roma,2,2,4,1,0,0
2425,2025-01-12,Genoa,Parma Calcio 1913,1,0,2,3,0,0
2425,2025-01-12,Napoli,Verona,2,0,0,0,0,0
2425,2025-01-12,Venezia,Inter,0,1,3,1,0,0
2425,2025-01-13,Monza,Fiorentina,2,1,4,1,0,0
2425,2025-01-14,Atalanta,Juventus,1,1,1,1,0,0
2425,2025-01-14,Como,AC Milan,1,2,1,6,0,0
2425,2025-01-15,Inter,Bologna,2,2,0,0,0,0
2425,2025-01-17,Roma,Genoa,3,1,1,1,0,0
2425,2025-01-18,Atalanta,Napoli,2,3,4,2,0,0
2425,2025-01-18,Bologna,Monza,3,1,1,3,0,0
2425,2025-01-18,Juventus,AC Milan,2,0,0,2,0,0
2425,2025-01-19,Cagliari,Lecce,4,1,3,1,0,1
2425,2025-01-19,Fiorentina,Torino,1,1,3,2,0,1
2425,2025-01-19,Inter,Empoli,3,1,0,0,0,0
2425,2025-01-19,Parma Calcio 1913,Venezia,1,1,2,3,0,0
2425,2025-01-19,Verona,Lazio,0,3,5,2,1,0
2425,2025-01-20,Como,Udinese,4,1,1,3,1,1
2425,2025-01-24,Torino,Cagliari,2,0,0,1,0,0
2425,2025-01-25,Como,Atalanta,1,2,2,3,0,0
2425,2025-01-25,Empoli,Bologna,1,1,3,0,0,0
2425,2025-01-25,Napoli,Juventus,2,1,2,2,0,0
2425,2025-01-26,AC Milan,Parma Calcio 1913,3,2,2,5,0,0
2425,2025-01-26,Lazio,Fiorentina,1,2,1,3,0,1
2425,2025-01-26,Lecce,Inter,0,4,0,2,0,0
2425,2025-01-26,Udinese,Roma,1,2,2,2,0,0
2425,2025-01-27,Genoa,Monza,2,0,0,4,0,0
2425,2025-01-27,Venezia,Verona,1,1,1,1,0,0
2425,2025-01-31,Parma Calcio 1913,Lecce,1,3,1,2,0,0
2425,2025-02-01,Atalanta,Torino,1,1,0,3,0,0
2425,2025-02-01,Bologna,Como,2,0,3,4,0,1
2425,2025-02-01,Monza,Verona,0,1,2,3,0,0
2425,2025-02-01,Udinese,Venezia,3,2,3,3,0,0
2425,2025-02-02,AC Milan,Inter,1,1,0,2,0,0
2425,2025-02-02,Fiorentina,Genoa,2,1,3,1,0,0
2425,2025-02-02,Juventus,Empoli,4,1,0,2,0,1
2425,2025-02-02,Roma,Napoli,1,1,2,1,0,0
2425,2025-02-03,Cagliari,Lazio,1,2,0,0,0,0
2425,2025-02-06,Fiorentina,Inter,3,0,1,0,0,0
2425,2025-02-07,Como,Juventus,1,2,3,1,0,0
2425,2025-02-08,Empoli,AC Milan,0,2,2,3,1,1
2425,2025-02-08,Torino,Genoa,1,1,2,2,0,0
2425,2025-02-08,Verona,Atalanta,0,5,2,1,0,0
2425,2025-02-09,Cagliari,Parma Calcio 1913,2,1,0,2,0,0
2425,2025-02-09,Lazio,Monza,5,1,0,1,0,0
2425,2025-02-09,Lecce,Bologna,0,0,0,2,0,0
2425,2025-02-09,Napoli,Udinese,1,1,0,1,0,0
2425,2025-02-09,Venezia,Roma,0,1,2,3,0,0
2425,2025-02-10,Inter,Fiorentina,2,1,4,3,0,0
2425,2025-02-14,Bologna,Torino,3,2,0,4,0,0
2425,2025-02-15,AC Milan,Verona,1,0,3,4,0,0
2425,2025-02-15,Atalanta,Cagliari,0,0,1,1,0,0
2425,2025-02-15,Lazio,Napoli,2,2,2,2,0,0
2425,2025-02-16,Fiorentina,Como,0,2,3,2,0,0
2425,2025-02-16,Juventus,Inter,1,0,1,1,0,0
2425,2025-02-16,Monza,Lecce,0,0,2,2,0,0
2425,2025-02-16,Parma Calcio 1913,Roma,0,1,2,3,1,0
2425,2025-02-16,Udinese,Empoli,3,0,0,0,0,0
2425,2025-02-17,Genoa,Venezia,2,0,1,1,0,0
2425,2025-02-21,Lecce,Udinese,0,1,1,3,0,0
2425,2025-02-22,Inter,Genoa,1,0,0,2,0,0
2425,2025-02-22,Parma Calcio 1913,Bologna,2,0,2,1,0,0
2425,2025-02-22,Torino,AC Milan,2,1,1,1,0,0
