season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
1819,2018-08-18,Chievo,Juventus,2,3,2,0,0,0
1819,2018-08-18,Lazio,Napoli,1,2,0,0,0,0
1819,2018-08-19,Bologna,SPAL,0,1,3,2,1,0
1819,2018-08-19,Empoli,Cagliari,2,0,3,3,0,0
1819,2018-08-19,Parma Calcio 1913,Udinese,2,2,2,2,0,0
1819,2018-08-19,Sassuolo,Inter,1,0,3,2,0,0
1819,2018-08-19,Torino,Roma,0,1,1,3,0,0
1819,2018-08-20,Atalanta,Frosinone,4,0,0,2,0,0
1819,2018-08-25,Juventus,Lazio,2,0,3,2,0,0
1819,2018-08-25,Napoli,AC Milan,3,2,2,2,0,0
1819,2018-08-26,Cagliari,Sassuolo,2,2,4,3,0,1
1819,2018-08-26,Fiorentina,Chievo,6,1,1,3,0,0
1819,2018-08-26,Frosinone,Bologna,0,0,2,1,0,0
1819,2018-08-26,Genoa,Empoli,2,1,3,2,0,0
1819,2018-08-26,Inter,Torino,2,2,1,2,0,0
1819,2018-08-26,SPAL,Parma Calcio 1913,1,0,5,2,0,0
1819,2018-08-26,Udinese,Sampdoria,1,0,1,3,0,0
1819,2018-08-27,Roma,Atalanta,3,3,1,1,0,0
1819,2018-08-31,AC Milan,Roma,2,1,0,2,0,0
1819,2018-09-01,Bologna,Inter,0,3,1,1,0,0
1819,2018-09-01,Parma Calcio 1913,Juventus,1,2,1,3,0,0
1819,2018-09-02,Atalanta,Cagliari,0,1,2,2,0,0
1819,2018-09-02,Chievo,Empoli,0,0,1,1,0,0
1819,2018-09-02,Fiorentina,Udinese,1,0,3,1,0,0
1819,2018-09-02,Lazio,Frosinone,1,0,1,2,0,0
1819,2018-09-02,Sampdoria,Napoli,3,0,2,4,0,0
1819,2018-09-02,Sassuolo,Genoa,5,3,3,3,0,0
1819,2018-09-02,Torino,SPAL,1,0,1,2,0,0
1819,2018-09-15,Frosinone,Sampdoria,0,5,3,1,0,0
1819,2018-09-15,Inter,Parma Calcio 1913,0,1,2,2,0,0
1819,2018-09-15,Napoli,Fiorentina,1,0,1,4,0,0
1819,2018-09-16,Cagliari,AC Milan,1,1,1,1,0,0
1819,2018-09-16,Empoli,Lazio,0,1,2,3,0,0
1819,2018-09-16,Genoa,Bologna,1,0,2,5,0,1
1819,2018-09-16,Juventus,Sassuolo,2,1,3,3,1,0
1819,2018-09-16,Roma,Chievo,2,2,1,1,0,0
