season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions
1415,2014-09-13,Empoli,Roma,0.0,1.0,0,1,0,0,A,1495.87,1765.11,-269.24,0,3,0,0,0,0,0,0,1,1,0,0,0.0,2.0,2.0,0.0,2,4,0,0,0.593046,1.37321,11.9375,8.758620689655173,7.0,7.0
1415,2014-09-13,Juventus,Udinese,2.0,0.0,0,1,0,0,H,1895.43,1611.38,284.05,3,0,3,3,0,0,1,0,0,1,0,0,1.0,0.0,2.0,0.0,1,2,0,0,1.10828,0.201525,13.944444444444445,13.714285714285714,18.0,1.0
1415,2014-09-14,Inter,Sassuolo,7.0,0.0,0,1,0,1,H,1676.13,1525.03,151.1,3,0,1,1,0,0,0,1,0,0,1,0,0.0,0.0,1.0,1.0,1,3,1,0,3.96571,0.483421,4.685714285714286,9.970588235294118,6.0,4.0
1415,2014-09-14,Fiorentina,Genoa,0.0,0.0,1,4,0,1,D,1702.7,1559.17,143.53,1,1,0,0,0,0,0,0,1,0,0,1,0.0,2.0,1.0,2.0,4,3,0,0,2.09923,0.230085,5.407407407407407,14.0,8.0,2.0
1415,2014-09-14,Parma,Milan,4.0,5.0,4,2,1,1,A,1648.2,1723.58,-75.38,0,3,0,0,0,0,0,0,1,1,0,0,0.0,1.0,3.0,1.0,2,2,0,0,1.43019,3.77794,11.538461538461538,14.588235294117649,8.0,2.0
1415,2014-09-14,Cagliari,Atalanta,1.0,2.0,4,4,0,0,A,1558.3,1580.06,-21.76,0,3,1,1,0,0,0,1,0,0,1,0,1.0,1.0,0.0,0.0,2,2,0,0,3.00775,0.616984,5.6,12.0,18.0,3.0
1415,2014-09-14,Napoli,Chievo,0.0,1.0,2,2,0,0,A,1777.55,1540.86,236.69,0,3,3,3,0,0,1,0,0,0,0,1,2.0,1.0,0.0,1.0,1,2,0,0,2.2055,0.667533,3.892857142857143,13.68,13.0,6.0
1415,2014-09-14,Sampdoria,Torino,2.0,0.0,3,4,0,0,H,1560.52,1638.18,-77.66,3,0,1,1,0,0,0,1,0,0,1,0,1.0,1.0,0.0,0.0,3,1,1,0,0.421195,0.389513,10.714285714285714,10.35,3.0,3.0
1415,2014-09-14,Lazio,Cesena,3.0,0.0,3,1,0,0,H,1635.38,1467.2,168.18,3,0,0,0,0,0,0,0,1,1,0,0,1.0,3.0,1.0,0.0,3,2,0,0,1.55271,0.154651,5.173913043478261,23.08333333333333,7.0,0.0
1415,2014-09-15,Verona,Palermo,2.0,1.0,4,2,0,0,H,1583.38,1570.98,12.4,3,0,1,1,0,0,0,1,0,0,1,0,0.0,0.0,1.0,1.0,3,2,0,0,2.10454,1.38681,10.166666666666666,8.821428571428571,1.0,5.0
1415,2014-09-20,Milan,Juventus,0.0,1.0,2,3,0,0,A,1742.28,1910.9,-168.62,0,3,6,3,3,3,2,0,0,2,0,0,8.0,5.0,3.0,0.0,4,1,1,0,0.281427,1.44109,10.689655172413794,7.133333333333334,4.0,11.0
1415,2014-09-20,Cesena,Empoli,2.0,2.0,4,1,0,0,D,1472.93,1503.88,-30.95,1,1,3,0,3,0,1,0,1,0,0,2,1.0,3.0,0.0,3.0,3,2,0,0,2.03766,2.57707,14.25,9.941176470588236,2.0,6.0
1415,2014-09-21,Genoa,Lazio,1.0,0.0,2,2,0,1,H,1575.63,1652.14,-76.51,3,0,1,4,0,0,0,1,1,1,0,1,1.0,2.0,4.0,3.0,7,6,1,0,1.18602,1.97129,12.63157894736842,4.175,2.0,8.0
1415,2014-09-21,Atalanta,Fiorentina,0.0,1.0,1,4,0,0,A,1600.37,1713.65,-113.28,0,3,4,4,1,0,1,1,0,0,1,1,2.0,1.0,0.0,2.0,6,5,0,0,1.1469,1.02956,19.214285714285715,5.954545454545454,6.0,6.0
1415,2014-09-21,Chievo,Parma,2.0,3.0,1,4,0,0,A,1566.96,1652.0,-85.04,0,3,3,6,0,0,1,0,1,0,0,2,1.0,1.0,4.0,6.0,4,6,0,1,1.34921,0.934229,12.285714285714286,5.071428571428571,3.0,5.0
1415,2014-09-21,Palermo,Inter,1.0,1.0,2,4,0,0,D,1575.91,1704.65,-128.74,1,1,1,1,1,1,0,1,1,1,1,0,2.0,3.0,7.0,0.0,4,1,0,1,0.584764,0.477134,18.88888888888889,10.923076923076923,2.0,2.0
1415,2014-09-21,Roma,Cagliari,2.0,0.0,1,1,0,0,H,1790.03,1560.48,229.55,3,0,6,3,3,1,2,0,0,0,1,1,3.0,0.0,2.0,3.0,5,6,0,0,1.52229,0.493968,11.695652173913045,21.476190476190474,6.0,4.0
1415,2014-09-21,Torino,Verona,0.0,1.0,3,2,0,0,A,1637.79,1600.95,36.84,0,3,1,1,1,1,0,1,1,1,1,0,0.0,2.0,2.0,1.0,5,7,0,0,2.62344,1.22043,15.11111111111111,13.11111111111111,11.0,2.0
1415,2014-09-21,Udinese,Napoli,1.0,0.0,1,3,0,0,H,1620.21,1779.66,-159.45,3,0,3,0,3,3,1,0,1,1,0,1,2.0,2.0,2.0,2.0,3,3,0,0,0.693168,0.436016,14.63157894736842,8.09375,0.0,6.0
1415,2014-09-21,Sassuolo,Sampdoria,0.0,0.0,3,2,0,0,D,1527.4,1583.94,-56.54,1,1,1,1,1,1,0,1,1,1,1,0,1.0,8.0,3.0,1.0,4,6,1,1,0.656603,0.654804,9.25,7.111111111111111,2.0,6.0
1415,2014-09-23,Empoli,Milan,2.0,2.0,2,3,1,0,D,1504.6,1736.95,-232.35,1,1,1,4,0,3,0,1,2,2,0,1,2.0,5.0,8.0,6.0,3,6,0,1,2.03406,0.58264,9.678571428571429,4.951219512195122,8.0,4.0
1415,2014-09-24,Inter,Atalanta,2.0,0.0,1,3,0,0,H,1702.5,1593.8,108.7,3,0,5,2,3,3,1,2,0,1,1,1,8.0,1.0,2.0,2.0,5,7,1,0,1.81087,0.421513,12.136363636363637,9.434782608695652,4.0,4.0
1415,2014-09-24,Cagliari,Torino,1.0,2.0,2,2,0,0,A,1557.23,1627.44,-70.21,0,3,1,4,0,0,0,1,2,0,1,2,2.0,5.0,0.0,3.0,7,8,0,0,0.775745,1.296,7.6571428571428575,16.533333333333335,8.0,5.0
1415,2014-09-24,Fiorentina,Sassuolo,0.0,0.0,2,2,0,0,D,1720.21,1527.5,192.71,1,1,4,4,1,0,1,1,1,0,2,1,1.0,2.0,1.0,8.0,9,7,0,1,1.0464,0.159402,4.8,20.125,11.0,1.0
1415,2014-09-24,Juventus,Cesena,3.0,0.0,0,3,0,0,H,1916.23,1472.21,444.02,3,0,9,6,3,0,3,0,0,1,1,1,4.0,0.0,3.0,5.0,4,7,0,0,2.23177,0.0127481,4.275862068965517,25.928571428571427,18.0,1.0
1415,2014-09-24,Verona,Genoa,2.0,2.0,2,2,0,0,D,1611.29,1584.32,26.97,1,1,7,4,3,1,2,1,0,1,1,1,3.0,1.0,2.0,2.0,9,9,0,1,1.82598,1.6167,8.272727272727273,9.125,8.0,5.0
1415,2014-09-24,Sampdoria,Chievo,2.0,1.0,1,3,0,0,H,1583.84,1559.77,24.07,3,0,5,2,3,3,1,2,0,1,0,2,3.0,1.0,3.0,4.0,8,5,1,0,1.78275,0.270687,2.8297872340425534,5.972222222222222,5.0,2.0
1415,2014-09-24,Parma,Roma,1.0,2.0,3,3,0,0,A,1659.19,1793.28,-134.09,0,3,3,6,0,3,1,0,2,3,0,0,7.0,8.0,5.0,0.0,10,6,1,0,0.334683,0.82541,14.851851851851851,5.8,4.0,13.0
