season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions,home_xg_last_5,home_xga_last_5,home_ppda_last_5,home_ppda_faced_last_5,home_deep_completions_last_5,home_deep_completions_allowed_last_5,away_xg_last_5,away_xga_last_5,away_ppda_last_5,away_ppda_faced_last_5,away_deep_completions_last_5,away_deep_completions_allowed_last_5,xg_form_diff_last_5,xga_form_diff_last_5,ppda_diff_last_5,deep_completions_diff_last_5
1415,2014-09-20,Cesena,Empoli,2.0,2.0,4,1,0,0,D,1472.93,1503.88,-30.95,1,1,3,0,3,0,1,0,1,0,0,2,1.0,3.0,0.0,3.0,3,2,0,0,2.03766,2.57707,14.25,9.941176470588236,2.0,6.0,0.6244105000000001,0.9956305000000001,24.25,7.195652173913043,1.5,8.0,0.641148,1.529875,13.939338235294118,10.422788605697152,6.5,6.0,-0.01673749999999996,-0.5342445,10.310661764705882,-5.0
1415,2014-09-20,Milan,Juventus,0.0,1.0,2,3,0,0,A,1742.28,1910.9,-168.62,0,3,6,3,3,3,2,0,0,2,0,0,8.0,5.0,3.0,0.0,4,1,1,0,0.281427,1.44109,10.689655172413794,7.133333333333334,4.0,11.0,2.894615,1.73417,13.207161125319693,9.197802197802197,3.5,11.5,1.74111,0.35187599999999997,8.886015325670499,11.68146718146718,15.0,1.0,1.153505,1.382294,4.321145799649194,-11.5
1415,2014-09-21,Atalanta,Fiorentina,0.0,1.0,1,4,0,0,A,1600.37,1713.65,-113.28,0,3,4,4,1,0,1,1,0,0,1,1,2.0,1.0,0.0,2.0,6,5,0,0,1.1469,1.02956,19.214285714285715,5.954545454545454,6.0,6.0,0.7489885000000001,1.8674435,10.16,8.704761904761906,5.5,12.0,1.238423,1.2351124999999998,10.953703703703704,11.285714285714285,5.5,3.5,-0.4894345,0.6323310000000002,-0.793703703703704,0.0
1415,2014-09-21,Chievo,Parma,2.0,3.0,1,4,0,0,A,1566.96,1652.0,-85.04,0,3,3,6,0,0,1,0,1,0,0,2,1.0,1.0,4.0,6.0,4,6,0,1,1.34921,0.934229,12.285714285714286,5.071428571428571,3.0,5.0,0.5848800000000001,2.28972,11.664324324324324,3.8602216748768474,3.5,12.5,0.9343705,2.436055,10.377926421404682,20.002450980392158,8.5,2.5,-0.3494904999999999,-0.1463350000000001,1.2863979029196422,-5.0
1415,2014-09-21,Genoa,Lazio,1.0,0.0,2,2,0,1,H,1575.63,1652.14,-76.51,3,0,1,4,0,0,0,1,1,1,0,1,1.0,2.0,4.0,3.0,7,6,1,0,1.18602,1.97129,12.63157894736842,4.175,2.0,8.0,0.375315,1.944725,13.14,7.5673400673400675,2.5,7.0,1.79543,1.0829704999999998,6.015527950310559,17.45471014492753,11.0,2.5,-1.420115,0.8617545000000002,7.124472049689442,-8.5
1415,2014-09-21,Palermo,Inter,1.0,1.0,2,4,0,0,D,1575.91,1704.65,-128.74,1,1,1,1,1,1,0,1,1,1,1,0,2.0,3.0,7.0,0.0,4,1,0,1,0.584764,0.477134,18.88888888888889,10.923076923076923,2.0,2.0,1.1548765,1.454002,10.805451127819548,8.416666666666666,5.0,2.5,2.639725,0.7915755,6.777639751552796,11.679738562091504,5.5,4.5,-1.4848484999999998,0.6624265,4.027811376266753,-0.5
1415,2014-09-21,Roma,Cagliari,2.0,0.0,1,1,0,0,H,1790.03,1560.48,229.55,3,0,6,3,3,1,2,0,0,0,1,1,3.0,0.0,2.0,3.0,5,6,0,0,1.52229,0.493968,11.695652173913045,21.476190476190474,6.0,4.0,1.8066749999999998,0.48533099999999996,8.665024630541872,14.21875,6.0,5.0,1.9301055,0.8486319999999999,5.381081081081081,12.541666666666668,12.0,4.5,-0.12343050000000022,-0.363301,3.2839435494607905,-6.0
1415,2014-09-21,Sassuolo,Sampdoria,0.0,0.0,3,2,0,0,D,1527.4,1583.94,-56.54,1,1,1,1,1,1,0,1,1,1,1,0,1.0,8.0,3.0,1.0,4,6,1,1,0.656603,0.654804,9.25,7.111111111111111,2.0,6.0,0.7818505,2.4090855,11.526960784313726,4.923938223938224,5.0,6.0,0.6123295,0.656228,8.69047619047619,11.569736842105263,3.5,4.0,0.16952100000000003,1.7528575000000002,2.836484593837536,1.5
1415,2014-09-21,Torino,Verona,0.0,1.0,3,2,0,0,A,1637.79,1600.95,36.84,0,3,1,1,1,1,0,1,1,1,1,0,0.0,2.0,2.0,1.0,5,7,0,0,2.62344,1.22043,15.11111111111111,13.11111111111111,11.0,2.0,0.7446215,0.8674675,11.869444444444444,9.79192546583851,4.0,4.0,1.4158385,1.1339015000000001,10.988095238095237,8.570714285714285,3.5,6.5,-0.671217,-0.26643400000000017,0.8813492063492063,0.5
1415,2014-09-21,Udinese,Napoli,1.0,0.0,1,3,0,0,H,1620.21,1779.66,-159.45,3,0,3,0,3,3,1,0,1,1,0,1,2.0,2.0,2.0,2.0,3,3,0,0,0.693168,0.436016,14.63157894736842,8.09375,0.0,6.0,0.9440324999999999,0.898765,12.900621118012422,14.942810457516341,3.0,12.0,1.9978599999999997,0.594039,6.810064935064935,12.98,9.5,4.5,-1.0538274999999997,0.30472600000000005,6.090556182947487,-6.5
