league,season,game,stage_id,game_id,status,start_time,home_team_id,home_team,home_yellow_cards,home_red_cards,away_team_id,away_team,away_yellow_cards,away_red_cards,has_incidents_summary,has_preview,score_changed_at,elapsed,last_scorer,is_top_match,home_team_country_code,away_team_country_code,comment_count,is_lineup_confirmed,is_stream_available,match_is_opta,home_team_country_name,away_team_country_name,date,home_score,away_score,incidents,bets,aggregate_winner_field,winner_field,period,extra_result_field,home_extratime_score,away_extratime_score,home_penalty_score,away_penalty_score,started_at_utc,first_half_ended_at_utc,second_half_started_at_utc,stage
ITA-Serie A,2021,2020-09-19 Fiorentina-Torino,18873,1495318,6,2020-09-19T17:00:00,73,Fiorentina,3,0,72,Torino,1,0,True,True,2020-09-19 18:42:44Z,FT,0.0,False,it,it,2,True,False,False,Italy,Italy,2020-09-19 16:00:00+00:00,1,0,"[{'minute': '78', 'type': 1, 'subType': 1, 'playerName': 'Gaetano Castrovilli', 'playerId': 239016, 'participatingPlayerName': 'Federico Chiesa', 'participatingPlayerId': 322971, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-19T16:03:16Z,,2020-09-19T17:10:05Z,
ITA-Serie A,2021,2020-09-19 Verona-Roma,18873,1495332,6,2020-09-19T19:45:00,76,Verona,2,0,84,Roma,0,0,False,True,2024-06-19 12:18:32Z,FT,0.0,False,it,it,1,True,False,False,Italy,Italy,2020-09-19 18:45:00+00:00,0,0,[],,,,7,,,,,,2020-09-19T18:47:41Z,,2020-09-19T19:52:47Z,
ITA-Serie A,2021,2020-09-20 Genoa-Crotone,18873,1495320,6,2020-09-20T14:00:00,278,Genoa,4,0,779,Crotone,2,0,True,True,2020-09-20 15:34:27Z,FT,0.0,False,it,it,2,True,False,False,Italy,Italy,2020-09-20 13:00:00+00:00,4,1,"[{'minute': '6', 'type': 1, 'subType': 1, 'playerName': 'Mattia Destro', 'playerId': 67434, 'participatingPlayerName': 'Paolo Ghiglione', 'participatingPlayerId': 259931, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '9', 'type': 1, 'subType': 1, 'playerName': 'Goran Pandev', 'playerId': 6093, 'participatingPlayerName': 'Edoardo Goldaniga', 'participatingPlayerId': 118148, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '28', 'type': 1, 'subType': 1, 'playerName': 'Emmanuel Rivière', 'playerId': 70104, 'participatingPlayerName': 'Salvatore Molina', 'participatingPlayerId': 109085, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '34', 'type': 1, 'subType': 1, 'playerName': 'Davide Zappacosta', 'playerId': 141312, 'participatingPlayerName': 'Milan Badelj', 'participatingPlayerId': 42435, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '75', 'type': 1, 'subType': 1, 'playerName': 'Marko Pjaca', 'playerId': 242432, 'participatingPlayerName': 'Paolo Ghiglione', 'participatingPlayerId': 259931, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-20T13:01:12Z,,2020-09-20T14:04:40Z,
ITA-Serie A,2021,2020-09-20 Juventus-Sampdoria,18873,1495321,6,2020-09-20T19:45:00,87,Juventus,1,0,271,Sampdoria,1,0,True,True,2020-09-20 21:33:55Z,FT,0.0,False,it,it,21,True,False,False,Italy,Italy,2020-09-20 18:45:00+00:00,3,0,"[{'minute': '13', 'type': 1, 'subType': 1, 'playerName': 'Dejan Kulusevski', 'playerId': 355855, 'participatingPlayerName': 'Cristiano Ronaldo', 'participatingPlayerId': 5583, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '78', 'type': 1, 'subType': 1, 'playerName': 'Leonardo Bonucci', 'playerId': 20664, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '88', 'type': 1, 'subType': 1, 'playerName': 'Cristiano Ronaldo', 'playerId': 5583, 'participatingPlayerName': 'Aaron Ramsey', 'participatingPlayerId': 26820, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-20T18:48:51Z,,2020-09-20T19:50:34Z,
ITA-Serie A,2021,2020-09-20 Parma Calcio 1913-Napoli,18873,1495326,6,2020-09-20T11:30:00,24341,Parma Calcio 1913,4,0,276,Napoli,1,0,True,True,2020-09-20 13:05:24Z,FT,1.0,False,it,it,12,True,False,False,Italy,Italy,2020-09-20 10:30:00+00:00,0,2,"[{'minute': '63', 'type': 1, 'subType': 1, 'playerName': 'Dries Mertens', 'playerId': 23100, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '77', 'type': 1, 'subType': 1, 'playerName': 'Lorenzo Insigne', 'playerId': 83390, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-20T10:32:23Z,,2020-09-20T11:33:22Z,
ITA-Serie A,2021,2020-09-20 Sassuolo-Cagliari,18873,1495328,6,2020-09-20T17:00:00,2889,Sassuolo,1,0,78,Cagliari,3,0,True,True,2020-09-20 18:49:18Z,FT,0.0,False,it,it,1,True,False,False,Italy,Italy,2020-09-20 16:00:00+00:00,1,1,"[{'minute': '77', 'type': 1, 'subType': 1, 'playerName': 'Giovanni Simeone', 'playerId': 133839, 'participatingPlayerName': 'João Pedro', 'participatingPlayerId': 86935, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '87', 'type': 1, 'subType': 1, 'playerName': 'Mehdi Bourabia', 'playerId': 82109, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,,7,,,,,,2020-09-20T16:02:00Z,,2020-09-20T17:07:05Z,
ITA-Serie A,2021,2020-09-21 AC Milan-Bologna,18873,1495324,6,2020-09-21T19:45:00,80,AC Milan,3,0,71,Bologna,4,1,True,True,2020-09-21 20:56:33Z,FT,0.0,False,it,it,12,True,False,False,Italy,Italy,2020-09-21 18:45:00+00:00,2,0,"[{'minute': '35', 'type': 1, 'subType': 1, 'playerName': 'Zlatan Ibrahimovic', 'playerId': 3281, 'participatingPlayerName': 'Theo Hernández', 'participatingPlayerId': 303115, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '51', 'type': 1, 'subType': 2, 'playerName': 'Zlatan Ibrahimovic', 'playerId': 3281, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '88', 'type': 2, 'subType': 2, 'playerName': 'Mitchell Dijks', 'playerId': 115574, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,0.0,7,,,,,,2020-09-21T18:47:53Z,,2020-09-21T19:50:25Z,
ITA-Serie A,2021,2020-09-26 Cagliari-Lazio,18873,1495376,6,2020-09-26T17:00:00,78,Cagliari,1,0,77,Lazio,1,0,True,True,2020-09-26 18:32:44Z,FT,1.0,False,it,it,1,True,False,False,Italy,Italy,2020-09-26 16:00:00+00:00,0,2,"[{'minute': '4', 'type': 1, 'subType': 1, 'playerName': 'Manuel Lazzari', 'playerId': 287086, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '74', 'type': 1, 'subType': 1, 'playerName': 'Ciro Immobile', 'playerId': 70141, 'participatingPlayerName': 'Adam Marusic', 'participatingPlayerId': 275698, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-26T16:01:30Z,,2020-09-26T17:03:16Z,
ITA-Serie A,2021,2020-09-26 Inter-Fiorentina,18873,1495378,6,2020-09-26T19:45:00,75,Inter,1,0,73,Fiorentina,1,0,True,True,2020-09-26 21:36:43Z,FT,0.0,True,it,it,12,True,False,False,Italy,Italy,2020-09-26 18:45:00+00:00,4,3,"[{'minute': '3', 'type': 1, 'subType': 1, 'playerName': 'Christian Kouamé', 'playerId': 322217, 'participatingPlayerName': 'Giacomo Bonaventura', 'participatingPlayerId': 40384, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '47', 'type': 1, 'subType': 1, 'playerName': 'Lautaro Martínez', 'playerId': 299344, 'participatingPlayerName': 'Nicolò Barella', 'participatingPlayerId': 148684, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '52', 'type': 1, 'subType': 3, 'playerName': 'Federico Ceccherini', 'playerId': 97203, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '57', 'type': 1, 'subType': 1, 'playerName': 'Gaetano Castrovilli', 'playerId': 239016, 'participatingPlayerName': 'Franck Ribéry', 'participatingPlayerId': 9016, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '63', 'type': 1, 'subType': 1, 'playerName': 'Federico Chiesa', 'playerId': 322971, 'participatingPlayerName': 'Franck Ribéry', 'participatingPlayerId': 9016, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '87', 'type': 1, 'subType': 1, 'playerName': 'Romelu Lukaku', 'playerId': 78498, 'participatingPlayerName': 'Achraf Hakimi', 'participatingPlayerId': 320834, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '89', 'type': 1, 'subType': 1, 'playerName': ""Danilo D'Ambrosio"", 'playerId': 64271, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-26T18:49:28Z,,2020-09-26T19:53:09Z,
ITA-Serie A,2021,2020-09-26 Sampdoria-Benevento,18873,1495381,6,2020-09-26T17:00:00,271,Sampdoria,3,0,1503,Benevento,1,0,True,True,2020-09-26 18:49:18Z,FT,1.0,False,it,it,2,True,False,False,Italy,Italy,2020-09-26 16:00:00+00:00,2,3,"[{'minute': '8', 'type': 1, 'subType': 1, 'playerName': 'Fabio Quagliarella', 'playerId': 9730, 'participatingPlayerName': 'Federico Bonazzoli', 'participatingPlayerId': 149543, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '18', 'type': 1, 'subType': 1, 'playerName': 'Omar Colley', 'playerId': 320582, 'participatingPlayerName': 'Antonio Candreva', 'participatingPlayerId': 34112, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '33', 'type': 1, 'subType': 1, 'playerName': 'Luca Caldirola', 'playerId': 67431, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '72', 'type': 1, 'subType': 1, 'playerName': 'Luca Caldirola', 'playerId': 67431, 'participatingPlayerName': 'Gianluca Caprari', 'participatingPlayerId': 98567, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '88', 'type': 1, 'subType': 1, 'playerName': 'Gaetano Letizia', 'playerId': 122454, 'participatingPlayerName': 'Marco Sau', 'participatingPlayerId': 27999, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-26T16:02:12Z,,2020-09-26T17:06:28Z,
ITA-Serie A,2021,2020-09-26 Torino-Atalanta,18873,1495383,6,2020-09-26T14:00:00,72,Torino,1,0,300,Atalanta,2,0,True,True,2020-09-26 15:18:03Z,FT,1.0,False,it,it,4,True,False,False,Italy,Italy,2020-09-26 13:00:00+00:00,2,4,"[{'minute': '11', 'type': 1, 'subType': 1, 'playerName': 'Andrea Belotti', 'playerId': 112272, 'participatingPlayerName': 'Tomás Rincón', 'participatingPlayerId': 31991, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '13', 'type': 1, 'subType': 1, 'playerName': 'Papu Gómez', 'playerId': 22546, 'participatingPlayerName': 'Duván Zapata', 'participatingPlayerId': 41073, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '21', 'type': 1, 'subType': 1, 'playerName': 'Luis Muriel', 'playerId': 84190, 'participatingPlayerName': 'Papu Gómez', 'participatingPlayerId': 22546, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '42', 'type': 1, 'subType': 1, 'playerName': 'Hans Hateboer', 'playerId': 135890, 'participatingPlayerName': 'Papu Gómez', 'participatingPlayerId': 22546, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '43', 'type': 1, 'subType': 1, 'playerName': 'Andrea Belotti', 'playerId': 112272, 'participatingPlayerName': 'Mërgim Vojvoda', 'participatingPlayerId': 228854, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '54', 'type': 1, 'subType': 1, 'playerName': 'Marten de Roon', 'playerId': 85070, 'participatingPlayerName': 'Luis Muriel', 'participatingPlayerId': 84190, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-26T13:04:00Z,,2020-09-26T14:08:41Z,
ITA-Serie A,2021,2020-09-27 Crotone-AC Milan,18873,1495377,6,2020-09-27T17:00:00,779,Crotone,1,0,80,AC Milan,3,0,True,True,2020-09-27 18:11:39Z,FT,1.0,False,it,it,7,True,False,False,Italy,Italy,2020-09-27 16:00:00+00:00,0,2,"[{'minute': '47', 'type': 1, 'subType': 2, 'playerName': 'Franck Kessie', 'playerId': 277269, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '50', 'type': 1, 'subType': 1, 'playerName': 'Brahim Díaz', 'playerId': 317541, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-27T16:03:33Z,,2020-09-27T17:07:03Z,
ITA-Serie A,2021,2020-09-27 Napoli-Genoa,18873,1495379,6,2020-09-27T17:00:00,276,Napoli,1,0,278,Genoa,2,0,True,True,2020-09-27 18:34:05Z,FT,0.0,False,it,it,9,True,False,False,Italy,Italy,2020-09-27 16:00:00+00:00,6,0,"[{'minute': '10', 'type': 1, 'subType': 1, 'playerName': 'Hirving Lozano', 'playerId': 318511, 'participatingPlayerName': 'Dries Mertens', 'participatingPlayerId': 23100, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '46', 'type': 1, 'subType': 1, 'playerName': 'Piotr Zielinski', 'playerId': 118169, 'participatingPlayerName': 'Victor Osimhen', 'participatingPlayerId': 298510, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '57', 'type': 1, 'subType': 1, 'playerName': 'Dries Mertens', 'playerId': 23100, 'participatingPlayerName': 'Piotr Zielinski', 'participatingPlayerId': 118169, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '65', 'type': 1, 'subType': 1, 'playerName': 'Hirving Lozano', 'playerId': 318511, 'participatingPlayerName': 'Dries Mertens', 'participatingPlayerId': 23100, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '69', 'type': 1, 'subType': 1, 'playerName': 'Eljif Elmas', 'playerId': 339579, 'participatingPlayerName': 'Elseid Hysaj', 'participatingPlayerId': 108345, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '72', 'type': 1, 'subType': 1, 'playerName': 'Matteo Politano', 'playerId': 122683, 'participatingPlayerName': 'Giovanni Di Lorenzo', 'participatingPlayerId': 122469, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-27T16:03:24Z,,2020-09-27T17:07:20Z,
ITA-Serie A,2021,2020-09-27 Roma-Juventus,18873,1495380,6,2020-09-27T19:45:00,84,Roma,2,0,87,Juventus,2,1,True,True,2020-09-27 21:17:09Z,FT,1.0,True,it,it,72,True,False,False,Italy,Italy,2020-09-27 18:45:00+00:00,2,2,"[{'minute': '31', 'type': 1, 'subType': 2, 'playerName': 'Jordan Veretout', 'playerId': 101017, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '44', 'type': 1, 'subType': 2, 'playerName': 'Cristiano Ronaldo', 'playerId': 5583, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '46', 'type': 1, 'subType': 1, 'playerName': 'Jordan Veretout', 'playerId': 101017, 'participatingPlayerName': 'Henrikh Mkhitaryan', 'participatingPlayerId': 28421, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '62', 'type': 2, 'subType': 2, 'playerName': 'Adrien Rabiot', 'playerId': 116609, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '69', 'type': 1, 'subType': 1, 'playerName': 'Cristiano Ronaldo', 'playerId': 5583, 'participatingPlayerName': 'Danilo', 'participatingPlayerId': 88300, 'runningScore': None, 'field': 1, 'period': 3}]",,,,7,,,,,,2020-09-27T18:48:43Z,,2020-09-27T19:53:18Z,
ITA-Serie A,2021,2020-09-27 Spezia-Sassuolo,18873,1495382,6,2020-09-27T11:30:00,1501,Spezia,2,0,2889,Sassuolo,1,0,True,True,2020-09-27 13:13:46Z,FT,1.0,False,it,it,2,True,False,False,Italy,Italy,2020-09-27 10:30:00+00:00,1,4,"[{'minute': '12', 'type': 1, 'subType': 1, 'playerName': 'Filip Djuricic', 'playerId': 80443, 'participatingPlayerName': 'Gian Marco Ferrari', 'participatingPlayerId': 145352, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '30', 'type': 1, 'subType': 1, 'playerName': 'Andrej Galabinov', 'playerId': 128722, 'participatingPlayerName': 'Matteo Ricci', 'participatingPlayerId': 112766, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '64', 'type': 1, 'subType': 2, 'playerName': 'Domenico Berardi', 'playerId': 118542, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '66', 'type': 1, 'subType': 1, 'playerName': 'Grégoire Defrel', 'playerId': 101767, 'participatingPlayerName': 'Francesco Caputo', 'participatingPlayerId': 67834, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '76', 'type': 1, 'subType': 1, 'playerName': 'Francesco Caputo', 'playerId': 67834, 'participatingPlayerName': 'Gian Marco Ferrari', 'participatingPlayerId': 145352, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-27T10:32:10Z,,2020-09-27T11:42:45Z,
ITA-Serie A,2021,2020-09-27 Verona-Udinese,18873,1495384,6,2020-09-27T14:00:00,76,Verona,1,0,86,Udinese,0,0,True,True,2020-09-27 15:20:02Z,FT,0.0,False,it,it,5,True,False,False,Italy,Italy,2020-09-27 13:00:00+00:00,1,0,"[{'minute': '57', 'type': 1, 'subType': 1, 'playerName': 'Andrea Favilli', 'playerId': 297001, 'participatingPlayerName': 'Davide Faraoni', 'participatingPlayerId': 33875, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-27T13:03:16Z,,2020-09-27T14:06:50Z,
ITA-Serie A,2021,2020-09-28 Bologna-Parma Calcio 1913,18873,1495375,6,2020-09-28T19:45:00,71,Bologna,1,0,24341,Parma Calcio 1913,2,1,True,True,2020-09-28 21:36:06Z,FT,0.0,False,it,it,2,True,False,False,Italy,Italy,2020-09-28 18:45:00+00:00,4,1,"[{'minute': '16', 'type': 1, 'subType': 1, 'playerName': 'Roberto Soriano', 'playerId': 78906, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '30', 'type': 1, 'subType': 1, 'playerName': 'Roberto Soriano', 'playerId': 78906, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '56', 'type': 1, 'subType': 1, 'playerName': 'Andreas Skov Olsen', 'playerId': 377276, 'participatingPlayerName': 'Roberto Soriano', 'participatingPlayerId': 78906, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '67', 'type': 1, 'subType': 1, 'playerName': 'Hernani', 'playerId': 101958, 'participatingPlayerName': 'Gastón Brugman', 'participatingPlayerId': 101938, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '76', 'type': 2, 'subType': 3, 'playerName': 'Simone Iacoponi', 'playerId': 129551, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '91', 'type': 1, 'subType': 1, 'playerName': 'Rodrigo Palacio', 'playerId': 14871, 'participatingPlayerName': 'Gary Medel', 'participatingPlayerId': 29390, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-28T18:48:41Z,2020-09-28T19:34:40Z,2020-09-28T19:49:57Z,
ITA-Serie A,2021,2020-09-30 Benevento-Inter,18873,1495316,6,2020-09-30T17:00:00,1503,Benevento,1,0,75,Inter,0,0,True,True,2020-09-30 18:36:24Z,FT,0.0,False,it,it,7,True,False,False,Italy,Italy,2020-09-30 16:00:00+00:00,2,5,"[{'minute': '1', 'type': 1, 'subType': 1, 'playerName': 'Romelu Lukaku', 'playerId': 78498, 'participatingPlayerName': 'Achraf Hakimi', 'participatingPlayerId': 320834, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '25', 'type': 1, 'subType': 1, 'playerName': 'Roberto Gagliardini', 'playerId': 136279, 'participatingPlayerName': 'Ashley Young', 'participatingPlayerId': 8166, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '28', 'type': 1, 'subType': 1, 'playerName': 'Romelu Lukaku', 'playerId': 78498, 'participatingPlayerName': 'Roberto Gagliardini', 'participatingPlayerId': 136279, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '34', 'type': 1, 'subType': 1, 'playerName': 'Gianluca Caprari', 'playerId': 98567, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '42', 'type': 1, 'subType': 1, 'playerName': 'Achraf Hakimi', 'playerId': 320834, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '71', 'type': 1, 'subType': 1, 'playerName': 'Lautaro Martínez', 'playerId': 299344, 'participatingPlayerName': 'Alexis Sánchez', 'participatingPlayerId': 25244, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '76', 'type': 1, 'subType': 1, 'playerName': 'Gianluca Caprari', 'playerId': 98567, 'participatingPlayerName': 'Gianluca Lapadula', 'participatingPlayerId': 95872, 'runningScore': None, 'field': 0, 'period': 3}]",,,1.0,7,,,,,,2020-09-30T16:02:08Z,,2020-09-30T17:05:39Z,
ITA-Serie A,2021,2020-09-30 Lazio-Atalanta,18873,1495323,6,2020-09-30T19:45:00,77,Lazio,6,0,300,Atalanta,3,0,True,True,2020-09-30 21:07:50Z,FT,1.0,True,it,it,7,True,False,False,Italy,Italy,2020-09-30 18:45:00+00:00,1,4,"[{'minute': '10', 'type': 1, 'subType': 1, 'playerName': 'Robin Gosens', 'playerId': 141726, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '32', 'type': 1, 'subType': 1, 'playerName': 'Hans Hateboer', 'playerId': 135890, 'participatingPlayerName': 'Robin Gosens', 'participatingPlayerId': 141726, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '41', 'type': 1, 'subType': 1, 'playerName': 'Papu Gómez', 'playerId': 22546, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '57', 'type': 1, 'subType': 1, 'playerName': 'Felipe Caicedo', 'playerId': 22466, 'participatingPlayerName': 'Sergej Milinkovic-Savic', 'participatingPlayerId': 288767, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '61', 'type': 1, 'subType': 1, 'playerName': 'Papu Gómez', 'playerId': 22546, 'participatingPlayerName': 'Ruslan Malinovskyi', 'participatingPlayerId': 295456, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-30T18:49:16Z,,2020-09-30T19:51:50Z,
ITA-Serie A,2021,2020-09-30 Udinese-Spezia,18873,1495330,6,2020-09-30T17:00:00,86,Udinese,0,0,1501,Spezia,4,1,True,True,2020-09-30 18:51:54Z,FT,1.0,False,it,it,5,True,False,False,Italy,Italy,2020-09-30 16:00:00+00:00,0,2,"[{'minute': '29', 'type': 1, 'subType': 1, 'playerName': 'Andrej Galabinov', 'playerId': 128722, 'participatingPlayerName': 'Emmanuel Gyasi', 'participatingPlayerId': 143526, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '65', 'type': 2, 'subType': 2, 'playerName': 'Claudio Terzi', 'playerId': 27422, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '94', 'type': 1, 'subType': 1, 'playerName': 'Andrej Galabinov', 'playerId': 128722, 'participatingPlayerName': 'Rafael', 'participatingPlayerId': 59214, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-30T16:00:22Z,,2020-09-30T17:02:37Z,
ITA-Serie A,2021,2020-10-02 Fiorentina-Sampdoria,18873,1495437,6,2020-10-02T19:45:00,73,Fiorentina,0,0,271,Sampdoria,3,0,True,True,2020-10-02 21:26:48Z,FT,1.0,False,it,it,10,True,False,False,Italy,Italy,2020-10-02 18:45:00+00:00,1,2,"[{'minute': '43', 'type': 1, 'subType': 2, 'playerName': 'Fabio Quagliarella', 'playerId': 9730, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '72', 'type': 1, 'subType': 1, 'playerName': 'Dusan Vlahovic', 'playerId': 315369, 'participatingPlayerName': 'Nikola Milenkovic', 'participatingPlayerId': 319785, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '83', 'type': 1, 'subType': 1, 'playerName': 'Valerio Verre', 'playerId': 106581, 'participatingPlayerName': 'Emil Audero', 'participatingPlayerId': 254692, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-10-02T18:47:06Z,,2020-10-02T19:48:55Z,
