league,season,game,stage_id,game_id,status,start_time,home_team_id,home_team,home_yellow_cards,home_red_cards,away_team_id,away_team,away_yellow_cards,away_red_cards,has_incidents_summary,has_preview,score_changed_at,elapsed,last_scorer,is_top_match,home_team_country_code,away_team_country_code,comment_count,is_lineup_confirmed,is_stream_available,match_is_opta,home_team_country_name,away_team_country_name,date,home_score,away_score,incidents,bets,aggregate_winner_field,winner_field,period,extra_result_field,home_extratime_score,away_extratime_score,home_penalty_score,away_penalty_score,started_at_utc,first_half_ended_at_utc,second_half_started_at_utc,stage
ITA-Serie A,1516,2015-08-22 Lazio-Bologna,12770,1005922,6,2015-08-22T19:45:00,77,Lazio,2,0,71,Bologna,1,0,True,True,2015-08-22 20:29:04Z,FT,1.0,False,it,it,4,False,False,False,Italy,Italy,2015-08-22 18:45:00+00:00,2,1,"[{'minute': '17', 'type': 1, 'subType': 1, 'playerName': 'Lucas Biglia', 'playerId': 22205, 'participatingPlayerName': 'Keita Baldé', 'participatingPlayerId': 136294, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '23', 'type': 1, 'subType': 1, 'playerName': 'Ricardo Kishna', 'playerId': 141725, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '43', 'type': 1, 'subType': 1, 'playerName': 'Matteo Mancosu', 'playerId': 294041, 'participatingPlayerName': 'Franco Brienza', 'participatingPlayerId': 6420, 'runningScore': None, 'field': 1, 'period': 1}]",,,0.0,7,,,,,,2015-08-22T18:45:38Z,,2015-08-22T19:48:06Z,
ITA-Serie A,1516,2015-08-22 Verona-Roma,12770,1005919,6,2015-08-22T17:00:00,76,Verona,2,0,84,Roma,1,0,True,True,2015-08-22 18:25:11Z,FT,1.0,True,it,it,16,False,False,False,Italy,Italy,2015-08-22 16:00:00+00:00,1,1,"[{'minute': '61', 'type': 1, 'subType': 1, 'playerName': 'Bosko Jankovic', 'playerId': 11685, 'participatingPlayerName': 'Emil Hallfredsson', 'participatingPlayerId': 7323, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '66', 'type': 1, 'subType': 1, 'playerName': 'Alessandro Florenzi', 'playerId': 101596, 'participatingPlayerName': 'Edin Dzeko', 'participatingPlayerId': 24845, 'runningScore': None, 'field': 1, 'period': 3}]",,,,7,,,,,,2015-08-22T16:02:25Z,,2015-08-22T17:03:54Z,
ITA-Serie A,1516,2015-08-23 Empoli-Chievo,12770,1005916,6,2015-08-23T19:45:00,272,Empoli,1,0,267,Chievo,2,0,True,True,2015-08-23 21:06:59Z,FT,1.0,False,it,it,0,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,1,3,"[{'minute': '7', 'type': 1, 'subType': 1, 'playerName': 'Riccardo Saponara', 'playerId': 90878, 'participatingPlayerName': 'Daniele Croce', 'participatingPlayerId': 14482, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '55', 'type': 1, 'subType': 1, 'playerName': 'Riccardo Meggiorini', 'playerId': 25820, 'participatingPlayerName': 'Valter Birsa', 'participatingPlayerId': 12032, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '60', 'type': 1, 'subType': 1, 'playerName': 'Valter Birsa', 'playerId': 12032, 'participatingPlayerName': 'Alberto Paloschi', 'participatingPlayerId': 33834, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '63', 'type': 1, 'subType': 1, 'playerName': 'Alberto Paloschi', 'playerId': 33834, 'participatingPlayerName': 'Riccardo Meggiorini', 'participatingPlayerId': 25820, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2015-08-23T18:46:07Z,,2015-08-23T19:48:28Z,
ITA-Serie A,1516,2015-08-23 Fiorentina-AC Milan,12770,1005917,6,2015-08-23T19:45:00,73,Fiorentina,3,0,80,AC Milan,3,1,True,True,2015-08-23 21:01:51Z,FT,0.0,True,it,it,7,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,2,0,"[{'minute': '36', 'type': 2, 'subType': 2, 'playerName': 'Rodrigo Ely', 'playerId': 97262, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '38', 'type': 1, 'subType': 1, 'playerName': 'Marcos Alonso', 'playerId': 84008, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '56', 'type': 1, 'subType': 2, 'playerName': 'Josip Ilicic', 'playerId': 43194, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2015-08-23T18:47:49Z,,2015-08-23T19:51:10Z,
ITA-Serie A,1516,2015-08-23 Frosinone-Torino,12770,1005918,6,2015-08-23T19:45:00,2732,Frosinone,2,0,72,Torino,2,0,True,True,2015-08-23 21:10:09Z,FT,1.0,False,it,it,0,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,1,2,"[{'minute': '7', 'type': 1, 'subType': 1, 'playerName': 'Danilo Soddimo', 'playerId': 18681, 'participatingPlayerName': 'Luca Paganini', 'participatingPlayerId': 122653, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '59', 'type': 1, 'subType': 1, 'playerName': 'Fabio Quagliarella', 'playerId': 9730, 'participatingPlayerName': 'Danilo Avelar', 'participatingPlayerId': 90132, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '64', 'type': 1, 'subType': 1, 'playerName': 'Daniele Baselli', 'playerId': 83716, 'participatingPlayerName': 'Danilo Avelar', 'participatingPlayerId': 90132, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2015-08-23T18:47:17Z,,2015-08-23T19:49:22Z,
ITA-Serie A,1516,2015-08-23 Inter-Atalanta,12770,1005920,6,2015-08-23T19:45:00,75,Inter,2,0,300,Atalanta,3,1,True,True,2015-08-23 21:39:44Z,FT,0.0,False,it,it,3,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,1,0,"[{'minute': '71', 'type': 2, 'subType': 2, 'playerName': 'Carlos Carmona', 'playerId': 24175, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '93', 'type': 1, 'subType': 1, 'playerName': 'Stevan Jovetic', 'playerId': 29072, 'participatingPlayerName': 'Miranda', 'participatingPlayerId': 22504, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2015-08-23T18:48:27Z,,2015-08-23T19:51:19Z,
ITA-Serie A,1516,2015-08-23 Juventus-Udinese,12770,1005921,6,2015-08-23T17:00:00,87,Juventus,1,0,86,Udinese,3,0,True,True,2015-08-23 18:37:46Z,FT,1.0,True,it,it,12,False,False,False,Italy,Italy,2015-08-23 16:00:00+00:00,0,1,"[{'minute': '78', 'type': 1, 'subType': 1, 'playerName': 'Cyril Théréau', 'playerId': 13154, 'participatingPlayerName': 'Panagiotis Kone', 'participatingPlayerId': 23083, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2015-08-23T16:01:48Z,,2015-08-23T17:03:38Z,
ITA-Serie A,1516,2015-08-23 Palermo-Genoa,12770,1005923,6,2015-08-23T19:45:00,1285,Palermo,1,0,278,Genoa,1,0,True,True,2015-08-23 21:38:34Z,FT,0.0,False,it,it,1,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,1,0,"[{'minute': '91', 'type': 1, 'subType': 1, 'playerName': 'Abdelhamid El Kaoutari', 'playerId': 40842, 'participatingPlayerName': 'Franco Vázquez', 'participatingPlayerId': 102439, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2015-08-23T18:48:57Z,,2015-08-23T19:51:38Z,
ITA-Serie A,1516,2015-08-23 Sampdoria-AC Carpi,12770,1005924,6,2015-08-23T19:45:00,271,Sampdoria,2,1,9363,AC Carpi,3,0,True,True,2015-08-23 21:33:54Z,FT,1.0,False,it,it,2,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,5,2,"[{'minute': '14', 'type': 1, 'subType': 2, 'playerName': 'Éder', 'playerId': 22377, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '21', 'type': 1, 'subType': 1, 'playerName': 'Luis Muriel', 'playerId': 84190, 'participatingPlayerName': 'Éder', 'participatingPlayerId': 22377, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '31', 'type': 1, 'subType': 1, 'playerName': 'Luis Muriel', 'playerId': 84190, 'participatingPlayerName': 'Mattia Cassani', 'participatingPlayerId': 11402, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '33', 'type': 1, 'subType': 1, 'playerName': 'Éder', 'playerId': 22377, 'participatingPlayerName': 'Roberto Soriano', 'participatingPlayerId': 78906, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '37', 'type': 1, 'subType': 1, 'playerName': 'Fernando', 'playerId': 113031, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '38', 'type': 1, 'subType': 1, 'playerName': 'Andrea Lazzari', 'playerId': 10233, 'participatingPlayerName': 'Gabriel Silva', 'participatingPlayerId': 86684, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '81', 'type': 2, 'subType': 2, 'playerName': 'Dávid Ivan', 'playerId': 259189, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '88', 'type': 1, 'subType': 1, 'playerName': 'Ryder Matos', 'playerId': 106428, 'participatingPlayerName': 'Wallace Oliveira', 'participatingPlayerId': 101953, 'runningScore': None, 'field': 1, 'period': 3}]",,,0.0,7,,,,,,2015-08-23T18:47:54Z,,2015-08-23T19:50:10Z,
ITA-Serie A,1516,2015-08-23 Sassuolo-Napoli,12770,1005925,6,2015-08-23T19:45:00,2889,Sassuolo,4,0,276,Napoli,2,0,True,True,2015-08-23 21:25:00Z,FT,0.0,False,it,it,1,False,False,False,Italy,Italy,2015-08-23 18:45:00+00:00,2,1,"[{'minute': '3', 'type': 1, 'subType': 1, 'playerName': 'Marek Hamsík', 'playerId': 13475, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '32', 'type': 1, 'subType': 1, 'playerName': 'Antonio Floro Flores', 'playerId': 6077, 'participatingPlayerName': 'Domenico Berardi', 'participatingPlayerId': 118542, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '84', 'type': 1, 'subType': 1, 'playerName': 'Nicola Sansone', 'playerId': 83651, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2015-08-23T18:45:22Z,,2015-08-23T19:45:56Z,
ITA-Serie A,1516,2015-08-29 AC Milan-Empoli,12770,1005931,6,2015-08-29T19:45:00,80,AC Milan,0,0,272,Empoli,2,0,True,True,2015-08-29 21:14:08Z,FT,0.0,True,it,it,6,False,False,False,Italy,Italy,2015-08-29 18:45:00+00:00,2,1,"[{'minute': '16', 'type': 1, 'subType': 1, 'playerName': 'Carlos Bacca', 'playerId': 71687, 'participatingPlayerName': 'Luiz Adriano', 'participatingPlayerId': 14105, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '20', 'type': 1, 'subType': 1, 'playerName': 'Riccardo Saponara', 'playerId': 90878, 'participatingPlayerName': 'Massimo Maccarone', 'participatingPlayerId': 3853, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '69', 'type': 1, 'subType': 1, 'playerName': 'Luiz Adriano', 'playerId': 14105, 'participatingPlayerName': 'Giacomo Bonaventura', 'participatingPlayerId': 40384, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2015-08-29T18:48:27Z,,2015-08-29T19:50:00Z,
