league,season,game,stage_id,game_id,status,start_time,home_team_id,home_team,home_yellow_cards,home_red_cards,away_team_id,away_team,away_yellow_cards,away_red_cards,has_incidents_summary,has_preview,score_changed_at,elapsed,last_scorer,is_top_match,home_team_country_code,away_team_country_code,comment_count,is_lineup_confirmed,is_stream_available,match_is_opta,home_team_country_name,away_team_country_name,date,home_score,away_score,incidents,bets,aggregate_winner_field,winner_field,period,extra_result_field,home_extratime_score,away_extratime_score,home_penalty_score,away_penalty_score,started_at_utc,first_half_ended_at_utc,second_half_started_at_utc,stage
ITA-Serie A,1415,2014-08-30 Chievo-Juventus,11369,865783,6,2014-08-30T17:00:00,267,Chievo,2,0,87,Juventus,1,0,True,True,2014-08-30 17:20:26Z,FT,1.0,True,it,it,30,False,False,False,Italy,Italy,2014-08-30 16:00:00+00:00,0,1,"[{'minute': '6', 'type': 1, 'subType': 3, 'playerName': 'Cristiano Biraghi', 'playerId': 93935, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}]",,,1.0,0,,,,,,2014-08-30T16:04:05Z,,2014-08-30T17:06:28Z,
ITA-Serie A,1415,2014-08-30 Roma-Fiorentina,11369,865787,6,2014-08-30T19:45:00,84,Roma,4,0,73,Fiorentina,4,0,True,True,2014-08-30 21:38:52Z,FT,0.0,True,it,it,10,False,False,False,Italy,Italy,2014-08-30 18:45:00+00:00,2,0,"[{'minute': '28', 'type': 1, 'subType': 1, 'playerName': 'Radja Nainggolan', 'playerId': 52380, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '93', 'type': 1, 'subType': 1, 'playerName': 'Gervinho', 'playerId': 17740, 'participatingPlayerName': 'Radja Nainggolan', 'participatingPlayerId': 52380, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,0,,,,,,2014-08-30T18:47:43Z,,2014-08-30T19:50:21Z,
ITA-Serie A,1415,2014-08-31 AC Milan-Lazio,11369,865785,6,2014-08-31T17:00:00,80,AC Milan,2,0,77,Lazio,3,0,True,True,2014-08-31 18:28:52Z,FT,1.0,True,it,it,14,False,False,False,Italy,Italy,2014-08-31 16:00:00+00:00,3,1,"[{'minute': '7', 'type': 1, 'subType': 1, 'playerName': 'Keisuke Honda', 'playerId': 24605, 'participatingPlayerName': 'Stephan El Shaarawy', 'participatingPlayerId': 70087, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '56', 'type': 1, 'subType': 1, 'playerName': 'Sulley Muntari', 'playerId': 6166, 'participatingPlayerName': 'Ignazio Abate', 'participatingPlayerId': 23206, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '64', 'type': 1, 'subType': 2, 'playerName': 'Jérémy Ménez', 'playerId': 10407, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '67', 'type': 1, 'subType': 3, 'playerName': 'Alex', 'playerId': 10132, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,0.0,0,,,,,,2014-08-31T16:03:08Z,,2014-08-31T17:06:56Z,
ITA-Serie A,1415,2014-08-31 Atalanta-Verona,11369,865781,6,2014-08-31T17:00:00,300,Atalanta,2,0,76,Verona,3,0,False,True,,FT,,False,it,it,1,False,False,False,Italy,Italy,2014-08-31 16:00:00+00:00,0,0,[],,,,0,,,,,,2014-08-31T16:01:07Z,,2014-08-31T17:02:03Z,
ITA-Serie A,1415,2014-08-31 Cesena-Parma Calcio 1913,11369,865782,6,2014-08-31T19:45:00,265,Cesena,2,0,82,Parma Calcio 1913,2,0,True,True,2014-08-31 20:23:03Z,FT,0.0,False,it,it,1,False,False,False,Italy,Italy,2014-08-31 18:45:00+00:00,1,0,"[{'minute': '38', 'type': 1, 'subType': 1, 'playerName': 'Alejandro Rodriguez', 'playerId': 93715, 'participatingPlayerName': 'Franco Brienza', 'participatingPlayerId': 6420, 'runningScore': None, 'field': 0, 'period': 1}]",,,0.0,0,,,,,,2014-08-31T18:44:47Z,,2014-08-31T19:45:46Z,
ITA-Serie A,1415,2014-08-31 Genoa-Napoli,11369,865784,6,2014-08-31T19:45:00,278,Genoa,3,0,276,Napoli,1,0,True,True,2014-08-31 21:38:43Z,FT,1.0,True,it,it,2,False,False,False,Italy,Italy,2014-08-31 18:45:00+00:00,1,2,"[{'minute': '3', 'type': 1, 'subType': 1, 'playerName': 'José Callejón', 'playerId': 67206, 'participatingPlayerName': 'Gonzalo Higuaín', 'participatingPlayerId': 19729, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '40', 'type': 1, 'subType': 1, 'playerName': 'Mauricio Pinilla', 'playerId': 5734, 'participatingPlayerName': 'Giovanni Marchese', 'participatingPlayerId': 14131, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '95', 'type': 1, 'subType': 1, 'playerName': 'Jonathan de Guzmán', 'playerId': 19087, 'participatingPlayerName': 'Juan Camilo Zuñiga', 'participatingPlayerId': 26682, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,0,,,,,,2014-08-31T18:46:21Z,,2014-08-31T19:48:32Z,
ITA-Serie A,1415,2014-08-31 Palermo-Sampdoria,11369,865786,6,2014-08-31T19:45:00,1285,Palermo,2,0,271,Sampdoria,3,1,True,True,2014-08-31 21:37:22Z,FT,1.0,False,it,it,1,False,False,False,Italy,Italy,2014-08-31 18:45:00+00:00,1,1,"[{'minute': '7', 'type': 1, 'subType': 1, 'playerName': 'Paulo Dybala', 'playerId': 114863, 'participatingPlayerName': 'Edgar Barreto', 'participatingPlayerId': 10705, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '40', 'type': 2, 'subType': 2, 'playerName': 'Vasco Regini', 'playerId': 70675, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '91', 'type': 1, 'subType': 1, 'playerName': 'Daniele Gastaldello', 'playerId': 12348, 'participatingPlayerName': 'Lorenzo De Silvestri', 'participatingPlayerId': 19580, 'runningScore': None, 'field': 1, 'period': 3}]",,,,0,,,,,,2014-08-31T18:47:48Z,,2014-08-31T19:51:01Z,
ITA-Serie A,1415,2014-08-31 Sassuolo-Cagliari,11369,865788,6,2014-08-31T19:45:00,2889,Sassuolo,3,0,78,Cagliari,2,0,True,True,2014-08-31 20:30:56Z,FT,1.0,False,it,it,2,False,False,False,Italy,Italy,2014-08-31 18:45:00+00:00,1,1,"[{'minute': '42', 'type': 1, 'subType': 1, 'playerName': 'Simone Zaza', 'playerId': 71647, 'participatingPlayerName': 'Domenico Berardi', 'participatingPlayerId': 118542, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '44', 'type': 1, 'subType': 1, 'playerName': 'Marco Sau', 'playerId': 27999, 'participatingPlayerName': 'Antonio Balzano', 'participatingPlayerId': 52429, 'runningScore': None, 'field': 1, 'period': 1}]",,,,0,,,,,,2014-08-31T18:46:44Z,,2014-08-31T19:51:57Z,
ITA-Serie A,1415,2014-08-31 Torino-Inter,11369,865789,6,2014-08-31T19:45:00,72,Torino,1,0,75,Inter,1,1,True,True,,FT,,False,it,it,21,False,False,False,Italy,Italy,2014-08-31 18:45:00+00:00,0,0,"[{'minute': '92', 'type': 2, 'subType': 3, 'playerName': 'Nemanja Vidic', 'playerId': 9685, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,,0,,,,,,2014-08-31T18:45:42Z,,2014-08-31T19:45:47Z,
ITA-Serie A,1415,2014-08-31 Udinese-Empoli,11369,865790,6,2014-08-31T19:45:00,86,Udinese,2,0,272,Empoli,2,0,True,True,2014-08-31 21:03:13Z,FT,0.0,False,it,it,2,False,False,False,Italy,Italy,2014-08-31 18:45:00+00:00,2,0,"[{'minute': '57', 'type': 1, 'subType': 1, 'playerName': 'Antonio Di Natale', 'playerId': 4018, 'participatingPlayerName': 'Luis Muriel', 'participatingPlayerId': 84190, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '62', 'type': 1, 'subType': 1, 'playerName': 'Antonio Di Natale', 'playerId': 4018, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,0,,,,,,2014-08-31T18:45:08Z,,2014-08-31T19:46:35Z,
